country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
ABW,1995,912000.0,20.7719361585578,72.832,,2.22972096,,27.8064100047669,,0.2,,79805,16548.7173868987,65.376703433065,Latin America & Caribbean,High income,Aruba
AFG,1995,,0.0726986180506249,52.103,,0.0,,,47.037244188231,31.8,,17065836,,17.8343849378999,South Asia,Low income,Afghanistan
AGO,1995,9000.0,0.769173425961214,46.139,,0.01433269,,0.703902592395036,22.7033178497108,73.8,,13699778,404.29481849612,44.2110025396864,Sub-Saharan Africa,Lower middle income,Angola
ALB,1995,304000.0,0.654537133005248,74.022,,0.0,3.1900000572,23.0490615739216,21.9022169631779,50.6,,3187784,911.320465445326,38.2956838868638,Europe & Central Asia,Upper middle income,Albania
AND,1995,,6.66205168363352,80.804,,4.489257564,,,14.9891269266612,14.3,,63912,18443.2545197741,93.3528558674658,Europe & Central Asia,High income,Andorra
ARE,1995,,28.8469907955668,71.392,,5.298629246,,,56.6252189304716,0.1,,2434662,27003.1753753727,78.2578079598212,Middle East & North Africa,High income,United Arab Emirates
ARG,1995,2289000.0,3.65664558182821,72.864,,1.160057586,,10.2178067762251,19.1571575246282,10.2,,35070020,7357.6162773788,88.1853677511823,Latin America & Caribbean,Upper middle income,Argentina
ARM,1995,12000.0,1.05997745965458,68.628487804878,,0.0,7.6399998665,4.61103089015227,29.0193058392473,9.3,,3307581,443.924860857976,66.3956964271579,Europe & Central Asia,Upper middle income,Armenia
ASM,1995,34000.0,,71.565,,2.340780135,,,4.56365202563517,0.0,,52316,,83.9957798929559,East Asia & Pacific,High income,American Samoa
ATG,1995,447000.0,3.73578831551637,73.576,,,,,10.4679112790548,0.0,,68189,9034.47552907143,34.6045871837806,Latin America & Caribbean,High income,Antigua and Barbuda
